number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_hidden_units,params_latent_dim,params_learning_rate,params_n_hidden_layers,state
37,0.012481077574193478,2026-07-28 17:08:08.158191,2026-07-28 17:08:40.361023,0 days 00:00:32.202832,tanh,128,0.0,128,32,0.0001,3,COMPLETE
38,0.11273939162492752,2026-07-28 17:08:40.362920,2026-07-28 17:08:47.852066,0 days 00:00:07.489146,tanh,256,0.0,16,64,0.0001,3,COMPLETE
39,0.11000894755125046,2026-07-28 17:08:47.852531,2026-07-28 17:09:31.534176,0 days 00:00:43.681645,tanh,32,0.2,32,16,0.0001,3,COMPLETE
40,0.004516249988228083,2026-07-28 17:09:31.536027,2026-07-28 17:09:53.873654,0 days 00:00:22.337627,relu,128,0.0,128,32,0.0001,3,COMPLETE
41,0.004347148817032576,2026-07-28 17:09:53.874625,2026-07-28 17:10:14.373057,0 days 00:00:20.498432,relu,128,0.0,128,32,0.0001,3,COMPLETE
42,0.004269820172339678,2026-07-28 17:10:14.373525,2026-07-28 17:10:35.752866,0 days 00:00:21.379341,relu,128,0.0,128,32,0.0001,3,COMPLETE
43,0.00461040623486042,2026-07-28 17:10:35.756318,2026-07-28 17:11:01.744310,0 days 00:00:25.987992,relu,128,0.0,128,32,0.0001,3,COMPLETE
44,0.2001609057188034,2026-07-28 17:11:01.744802,2026-07-28 17:11:15.000110,0 days 00:00:13.255308,relu,128,0.3,16,64,0.0001,3,COMPLETE
45,0.004097106866538525,2026-07-28 17:11:15.000557,2026-07-28 17:11:42.794218,0 days 00:00:27.793661,relu,128,0.0,128,32,0.0001,3,COMPLETE
46,0.038103219121694565,2026-07-28 17:11:42.796300,2026-07-28 17:12:20.452965,0 days 00:00:37.656665,relu,128,0.2,128,32,0.0001,3,COMPLETE
47,0.07901382446289062,2026-07-28 17:12:20.453486,2026-07-28 17:12:29.175413,0 days 00:00:08.721927,relu,128,0.0,128,16,0.01,3,COMPLETE
48,0.21347728371620178,2026-07-28 17:12:29.177886,2026-07-28 17:12:43.610375,0 days 00:00:14.432489,relu,128,0.3,16,32,0.0001,3,COMPLETE
49,0.01224789023399353,2026-07-28 17:12:43.615880,2026-07-28 17:13:00.370498,0 days 00:00:16.754618,relu,128,0.0,64,32,0.0001,3,COMPLETE
