number,value,datetime_start,datetime_complete,duration,params_activation_decoder,params_activation_encoder,params_batch_size,params_dropout_rate,params_hidden_units,params_latent_dim,params_learning_rate,params_n_hidden_layers,state
35,0.032972302287817,2026-07-28 17:20:54.290654,2026-07-28 17:21:05.462653,0 days 00:00:11.171999,sigmoid,tanh,64,0.0,32,8,0.01,1,COMPLETE
36,0.08162648230791092,2026-07-28 17:21:05.463028,2026-07-28 17:21:30.264058,0 days 00:00:24.801030,sigmoid,tanh,32,0.2,64,128,0.005,3,COMPLETE
37,0.0024303679820150137,2026-07-28 17:21:30.264460,2026-07-28 17:21:51.511552,0 days 00:00:21.247092,linear,tanh,64,0.0,128,128,0.0005,2,COMPLETE
38,0.006483605597168207,2026-07-28 17:21:51.511946,2026-07-28 17:22:08.325156,0 days 00:00:16.813210,relu,tanh,128,0.1,128,32,0.0005,2,COMPLETE
39,0.02541484124958515,2026-07-28 17:22:08.325557,2026-07-28 17:22:15.710279,0 days 00:00:07.384722,sigmoid,tanh,256,0.0,64,8,0.01,2,COMPLETE
40,0.018918072804808617,2026-07-28 17:22:15.712068,2026-07-28 17:22:41.679525,0 days 00:00:25.967457,relu,tanh,64,0.3,128,128,0.0001,2,COMPLETE
41,0.002400453668087721,2026-07-28 17:22:41.680070,2026-07-28 17:23:06.154837,0 days 00:00:24.474767,linear,tanh,64,0.0,128,128,0.0005,2,COMPLETE
42,0.0029261417221277952,2026-07-28 17:23:06.156575,2026-07-28 17:23:29.448327,0 days 00:00:23.291752,linear,tanh,64,0.0,128,128,0.0005,2,COMPLETE
43,0.004532623570412397,2026-07-28 17:23:29.448729,2026-07-28 17:23:42.556340,0 days 00:00:13.107611,linear,tanh,64,0.0,128,128,0.0005,2,COMPLETE
44,0.0027257571928203106,2026-07-28 17:23:42.557172,2026-07-28 17:24:05.953637,0 days 00:00:23.396465,linear,tanh,64,0.0,128,128,0.0005,2,COMPLETE
45,0.04723795875906944,2026-07-28 17:24:05.954060,2026-07-28 17:24:15.909699,0 days 00:00:09.955639,linear,tanh,32,0.0,128,128,0.005,2,COMPLETE
46,0.049709197133779526,2026-07-28 17:24:15.910111,2026-07-28 17:24:28.341081,0 days 00:00:12.430970,relu,tanh,64,0.0,32,8,0.0001,2,COMPLETE
47,0.09623946249485016,2026-07-28 17:24:28.341496,2026-07-28 17:24:36.528566,0 days 00:00:08.187070,sigmoid,tanh,128,0.0,16,128,0.0005,2,COMPLETE
48,0.06829389929771423,2026-07-28 17:24:36.528955,2026-07-28 17:24:58.022507,0 days 00:00:21.493552,relu,tanh,64,0.2,128,32,0.01,2,COMPLETE
49,0.004817647859454155,2026-07-28 17:24:58.023295,2026-07-28 17:25:10.042301,0 days 00:00:12.019006,linear,tanh,64,0.0,128,64,0.0005,2,COMPLETE
